name,address,deliveryZoneName
KIELSA 001 , KIELSA YORO MONTECRISTO,NORTE - YORO
KIELSA 002 , KIELSA SPS PAZ BARAHONA,NORTE - SAN PEDRO SULA
KIELSA 003 , KIELSA SPS LOS ANDES,NORTE - SAN PEDRO SULA
KIELSA 004 , KIELSA LA CEIBA CENTRO,NORTE - LA CEIBA
KIELSA 005 , KIELSA LA CEIBA SAN ISIDRO,NORTE - LA CEIBA
KIELSA 006 , KIELSA TGU PAIZ MULTIPLAZA,CENTRO - TEGUCIGALPA
KIELSA 007 , KIELSA TGU PAIZ MIRAFLORES,CENTRO - TEGUCIGALPA
KIELSA 008 , KIELSA SPS CEMESA,NORTE - SAN PEDRO SULA
KIELSA 009 , KIELSA TOCOA PLAZA CITY PLACE,NORTE - TOCOA
KIELSA 010 , KIELSA LA CEIBA MEGAPLAZA,NORTE - LA CEIBA
KIELSA 011 , KIELSA COMAYAGUA METROPLAZA,CENTRO - COMAYAGUA
KIELSA 012 , KIELSA SPS MAXI PALMAS,NORTE - SAN PEDRO SULA
KIELSA 013 , KIELSA LA CEIBA DANTONY,NORTE - LA CEIBA
KIELSA 014 , KIELSA SPS MAXI S. LA LIMA,NORTE - SAN PEDRO SULA
KIELSA 015 , KIELSA TGU MULTIPLAZA NIVEL I,CENTRO - TEGUCIGALPA
KIELSA 016 , KIELSA TGU SANTA MONICA,CENTRO - TEGUCIGALPA
KIELSA 017 , KIELSA SPS CITY MALL NIVEL I,NORTE - SAN PEDRO SULA
KIELSA 018 , KIELSA SPS CITY MALL NIVEL II,NORTE - SAN PEDRO SULA
KIELSA 019 , KIELSA SPS DIUNSA,NORTE - SAN PEDRO SULA
KIELSA 020 , KIELSA TGU CASCADAS NIVEL II,CENTRO - TEGUCIGALPA
KIELSA 021 , KIELSA TGU WALMART CASCADAS,CENTRO - TEGUCIGALPA
KIELSA 022 , KIELSA TGU PAYAQUI,CENTRO - TEGUCIGALPA
KIELSA 023 , KIELSA TGU BLVD. MORAZAN I,CENTRO - TEGUCIGALPA
KIELSA 024 , KIELSA SPS CAPITAL,NORTE - SAN PEDRO SULA
KIELSA 025 , KIELSA TGU TEPEYAC,CENTRO - TEGUCIGALPA
KIELSA 026 , KIELSA TGU BLVD. MORAZAN II,CENTRO - TEGUCIGALPA
KIELSA 027 , KIELSA TGU TONCONTIN,CENTRO - TEGUCIGALPA
KIELSA 028 , KIELSA TGU LA POLICLINICA,CENTRO - TEGUCIGALPA
KIELSA 029 , KIELSA TGU CENTRO,CENTRO - TEGUCIGALPA
KIELSA 030 , KIELSA SAN FRANCISCO DE LA PAZ,CENTRO - SAN FRANCISCO DE LA PAZ
KIELSA 031 , KIELSA TGU METRO MALL NIVEL I,CENTRO - TEGUCIGALPA
KIELSA 032 , KIELSA EL PROGRESO MEGAPLAZA,NORTE - EL PROGRESO
KIELSA 033 , KIELSA EL PROGRESO PLAZA OFIBODEGA REDMIL,NORTE - EL PROGRESO
KIELSA 034 , KIELSA SPS PLAZA UNO,NORTE - SAN PEDRO SULA
KIELSA 035 , KIELSA LA CEIBA SANTA MONICA,NORTE - LA CEIBA
KIELSA 036 , KIELSA CHOLOMA LAS AMERICAS,NORTE - CHOLOMA
KIELSA 037 , KIELSA SPS 3ERA AVENIDA,NORTE - SAN PEDRO SULA
KIELSA 039 , KIELSA TGU LA COLONIA #1BLVD. SUYAPA,CENTRO - TEGUCIGALPA
KIELSA 040 , KIELSA PTO. CORTES PLAZA RIO MAR,NORTE - PUERTO CORTES
KIELSA 041 , KIELSA TGU KENNEDY I,CENTRO - TEGUCIGALPA
KIELSA 042 , KIELSA VILLANUEVA BUFALO,NORTE - VILLANUEVA
KIELSA 043 , KIELSA COMAYAGUA PREMIER,CENTRO - COMAYAGUA
KIELSA 044 , KIELSA EL PROGRESO BO. SAN FRANCISCO,NORTE - EL PROGRESO
KIELSA 045 , KIELSA VILLANUEVA USULA,NORTE - VILLANUEVA
KIELSA 046 , KIELSA SPS SARITA,NORTE - SAN PEDRO SULA
KIELSA 047 , KIELSA VILLANUEVA METROPLAZA,NORTE - VILLANUEVA
KIELSA 048 , KIELSA TGU SAN CARLOS BLVD. MORAZAN,CENTRO - TEGUCIGALPA
KIELSA 049 , KIELSA SPS POLICLINICA,NORTE - SAN PEDRO SULA
KIELSA 050 , KIELSA SPS BELLA VISTA,NORTE - SAN PEDRO SULA
KIELSA 051 , KIELSA TOCOA METROPLAZA,NORTE - TOCOA
KIELSA 052 , KIELSA SPS GALERIAS DEL VALLE,NORTE - SAN PEDRO SULA
KIELSA 053 , KIELSA SPS ENTRADA A COL HONDURAS,NORTE - SAN PEDRO SULA
KIELSA 054 , KIELSA SPS PASAJE VALLE,NORTE - SAN PEDRO SULA
KIELSA 056 , KIELSA SPS CATARINO RIVAS,NORTE - SAN PEDRO SULA
KIELSA 057 , KIELSA COMAYAGUA TORONDON,CENTRO - COMAYAGUA
KIELSA 058 , KIELSA SPS HOSPITAL DEL VALLE I,NORTE - SAN PEDRO SULA
KIELSA 059 , KIELSA SANTA BARBARA CENTRO,NORTE - SANTA BARBARA
KIELSA 060 , KIELSA SIGUATEPEQUE UNIPLAZA,CENTRO - SIGUATEPEQUE
KIELSA 061 , KIELSA SIGUATEPEQUE CENTRO I,CENTRO - SIGUATEPEQUE
KIELSA 062 , KIELSA SIGUATEPEQUE EL CARMEN,CENTRO - SIGUATEPEQUE
KIELSA 063 , KIELSA SPS MEGAPLAZA,NORTE - SAN PEDRO SULA
KIELSA 064 , KIELSA TGU PEATONAL,CENTRO - TEGUCIGALPA
KIELSA 066 , KIELSA SPS SATELITE,NORTE - SAN PEDRO SULA
KIELSA 067 , KIELSA SPS TARA,NORTE - SAN PEDRO SULA
KIELSA 068 , KIELSA LA CEIBA SOLARES NUEVOS,NORTE - LA CEIBA
KIELSA 069 , KIELSA SIGUATEPEQUE CENTRO II,CENTRO - SIGUATEPEQUE
KIELSA 070 , KIELSA CHOLUTECA BO. LA LIBERTAD,CENTRO - CHOLUTECA
KIELSA 071 , KIELSA PUERTO CORTES HOSP.DEL CARIBE,NORTE - PUERTO CORTES
KIELSA 072 , KIELSA SPS COLL FASHION,NORTE - SAN PEDRO SULA
KIELSA 073 , KIELSA LA CEIBA HOSPITAL ATLANTIDA,NORTE - LA CEIBA
KIELSA 074 , KIELSA TOCOA LAS FLORES I,NORTE - TOCOA
KIELSA 075 , KIELSA SPS CLINICA LOS ANDES,NORTE - SAN PEDRO SULA
KIELSA 076 , KIELSA SPS GALENOS,NORTE - SAN PEDRO SULA
KIELSA 077 , KIELSA TELA CENTRO I ,NORTE - TELA
KIELSA 078 , KIELSA PUERTO CORTES COPEN I,NORTE - PUERTO CORTES
KIELSA 079 , KIELSA SAN ESTEBAN CENTRO,CENTRO - SAN ESTEBAN
KIELSA 080 , CHOLOMA CENTRO I,NORTE - CHOLOMA
KIELSA 081 , KIELSA DANLI CENTRO I,CENTRO - DANLI
KIELSA 082 , KIELSA LA CEIBA MEDICENTRO,NORTE - LA CEIBA
KIELSA 083 , KIELSA LA CEIBA EL NARANJAL,NORTE - LA CEIBA
KIELSA 084 , KIELSA SPS BARANDILLAS,NORTE - SAN PEDRO SULA
KIELSA 085 , KIELSA SPS MULTIPLAZA,NORTE - SAN PEDRO SULA
KIELSA 086 , KIELSA DANLI CENTRO II,CENTRO - DANLI
KIELSA 087 , KIELSA EL PROGRESO EL CENTRO,NORTE - EL PROGRESO
KIELSA 088 , KIELSA EL PROGRESO LAS MERCEDES,NORTE - EL PROGRESO
KIELSA 089 , KIELSA TGU TOROCAGUA,CENTRO - TEGUCIGALPA
KIELSA 090 , KIELSA SPS REDONDEL,NORTE - SAN PEDRO SULA
KIELSA 091  , KIELSA SPS LA COLONIA #24 PRADO ALTO,NORTE - SAN PEDRO SULA
KIELSA 092 , KIELSA SPS UNO SANTA MARTHA,NORTE - SAN PEDRO SULA
KIELSA 093 , KIELSA SPS UNO EL EDEN,NORTE - SAN PEDRO SULA
KIELSA 094 , KIELSA SPS UNO CHAMELECON,NORTE - SAN PEDRO SULA
KIELSA 095 , KIELSA TOCOA LAS FLORES II,NORTE - TOCOA
KIELSA 096 , KIELSA TGU LA GRANJA IHSS,CENTRO - TEGUCIGALPA
KIELSA 097 , KIELSA TGU PREMIER NIVEL I,CENTRO - TEGUCIGALPA
KIELSA 098 , KIELSA TGU PREMIER NIVEL II,CENTRO - TEGUCIGALPA
KIELSA 099 , KIELSA SPS PLAZA PEDREGAL,NORTE - SAN PEDRO SULA
KIELSA 100 , KIELSA EL PARAISO CENTRO,CENTRO - EL PARAISO
KIELSA 101 , KIELSA SPS CENTRO I,NORTE - SAN PEDRO SULA
KIELSA 102 , KIELSA SPS LAS PALMAS,NORTE - SAN PEDRO SULA
KIELSA 103 , KIELSA SAN LORENZO CENTRO,CENTRO - SAN LORENZO
KIELSA 104 , KIELSA SANTA BARBARA LA LIBERTAD,NORTE - SANTA BARBARA
KIELSA 105 , KIELSA TGU FLORENCIA,CENTRO - TEGUCIGALPA
KIELSA 106 , KIELSA SANTA ROSA COPAN UNIPLAZA,NORTE - SANTA ROSA
KIELSA 107 , KIELSA TGU LAS HADAS,CENTRO - TEGUCIGALPA
KIELSA 108 , KIELSA TELA CENTRO II,NORTE - TELA
KIELSA 109 , KIELSA TGU CITY MALL NIVEL I,CENTRO - TEGUCIGALPA
KIELSA 110 , KIELSA TGU CITY MALL NIVEL II,CENTRO - TEGUCIGALPA
KIELSA 111 , KIELSA TGU METROPOLIS,CENTRO - TEGUCIGALPA
KIELSA 112 , KIELSA SPS CIRCUNVALACION,NORTE - SAN PEDRO SULA
KIELSA 113 , KIELSA SANTA BARBARA LAS VEGAS,NORTE - LAS VEGAS
KIELSA 114 , KIELSA JUTICALPA PUMA ACACIAS,CENTRO - JUTICALPA
KIELSA 115 , KIELSA VILLANUEVA SAN ELIAS,NORTE - VILLANUEVA
KIELSA 116 , KIELSA JUTICALPA LOS POETAS,CENTRO - JUTICALPA
KIELSA 117 , KIELSA SABA CENTRO,NORTE - SABA
KIELSA 118 , KIELSA PUERTO CORTES SUPER BARATO,NORTE - PUERTO CORTES
KIELSA 119 , KIELSA  YORO CENTRO I,NORTE - YORO
KIELSA 120 , KIELSA SANTA CRUZ DE YOJOA CENTRO,NORTE - SANTA CRUZ DE YOJOA
KIELSA 121 , KIELSA YORO CENTRO II,NORTE - YORO
KIELSA 122 , KIELSA TGU UNO LOARQUE,CENTRO - TEGUCIGALPA
KIELSA 123 , KIELSA SIGUATEPEQUE PLAZA N Y M,CENTRO - SIGUATEPEQUE
KIELSA 124 , KIELSA TGU PREMIER NUEVA ETAPA,CENTRO - TEGUCIGALPA
KIELSA 125 , KIELSA TGU LA ALEMAN,CENTRO - TEGUCIGALPA
KIELSA 126 , KIELSA NACAOME CENTRO,CENTRO - NACAOME
KIELSA 127 , KIELSA TGU EL HATO,CENTRO - TEGUCIGALPA
KIELSA 128 , KIELSA LA PAZ SAN JOSE,CENTRO - LA PAZ
KIELSA 129 , KIELSA TGU KENNEDY II,CENTRO - TEGUCIGALPA
KIELSA 130 , KIELSA LA ENTRADA COPAN I,NORTE - LA ENTRADA
KIELSA 131 , KIELSA OLANCHITO LIBERTAD SUR,NORTE - OLANCHITO
KIELSA 132 , KIELSA TGU EL PEDREGAL,CENTRO - TEGUCIGALPA
KIELSA 134 , KIELSA CHOLUTECA UNIMALL,CENTRO - CHOLUTECA
KIELSA 135 , KIELSA TGU BLVD. SUYAPA,CENTRO - TEGUCIGALPA
KIELSA 136 , KIELSA LA MASICA SAN JUAN PUEBLO,NORTE - SAN JUAN PUEBLO
KIELSA 137 , KIELSA CHOLOMA CENTRO II,NORTE - CHOLOMA
KIELSA 138 , KIELSA LA ENTRADA COPAN II,NORTE - LA ENTRADA
KIELSA 139 , KIELSA CHOLUTECA VICENTE WILLIAMS,CENTRO - CHOLUTECA
KIELSA 140 , KIELSA COMAYAGUA CENTRO,CENTRO - COMAYAGUA
KIELSA 141 , KIELSA TGU PLAZA LA LOMA,CENTRO - TEGUCIGALPA
KIELSA 142 , KIELSA SPS ALTARA,NORTE - SAN PEDRO SULA
KIELSA 143 , KIELSA TGU PLAZA LINDA,CENTRO - TEGUCIGALPA
KIELSA 144 , KIELSA LA CEIBA LA COLONIA #28 TORONJAL,NORTE - LA CEIBA
KIELSA 145 , KIELSA SPS 20 CALLE ,NORTE - SAN PEDRO SULA
KIELSA 146 , KIELSA TGU KENNEDY 111,CENTRO - TEGUCIGALPA
KIELSA 147 , KIELSA CHOLUTECA PLAZA BELLA VISTA,CENTRO - CHOLUTECA
KIELSA 148 , KIELSA JUTICALPA LOS POETAS,CENTRO - JUTICALPA
KIELSA 149 , KIELSA LA LIMA CENTRO,NORTE - LA LIMA
KIELSA 150 , KIELSA SPS JARDINES DEL VALLE ,NORTE - SAN PEDRO SULA
KIELSA 151 , KIELSA TGU PARQUE CENTRAL,CENTRO - TEGUCIGALPA
KIELSA 152 , KIELSA TGU LA COLONIA #42 CITY MALL,CENTRO - TEGUCIGALPA
KIELSA 153 , KIELSA TGU PASEO LOS ALCALDES,CENTRO - TEGUCIGALPA
KIELSA 154 , KIELSA LA CEIBA MERCY M.C.,NORTE - LA CEIBA
KIELSA 155 , KIELSA PEÑA BLANCA CENTRO,NORTE - PEÑA BLANCA
KIELSA 157 , KIELSA TGU UNA EMPRESARIAL,CENTRO - TEGUCIGALPA
KIELSA 158 , KIELSA TGU COLONIA MODELO,CENTRO - TEGUCIGALPA
KIELSA 159 , KIELSA ROATAN THICKET MAUTH,NORTE - ROATAN
KIELSA 160 , KIELSA MARCALA SAN MIGUEL,CENTRO - MARCALA
KIELSA 161 , KIELSA MORAZAN YORO,NORTE - MORAZAN
KIELSA 162 , KIELSA SANTA ROSA COPAN II,NORTE - SANTA ROSA
KIELSA 163 , KIELSA CATACAMAS PREMIER,CENTRO - CATACAMAS
KIELSA 164 , KIELSA TGU UNO EL MANCHEN,CENTRO - TEGUCIGALPA
KIELSA 165 , KIELSA TGU LA COLONIA #36 LOARQUE,CENTRO - TEGUCIGALPA
KIELSA 166 , KIELSA DANLI BARRIO ABAJO,CENTRO - DANLI
KIELSA 167 , KIELSA TGU LA COLONIA #35 ECOPLAZA,CENTRO - TEGUCIGALPA
KIELSA 168 , KIELSA SPS ISLAS DEL PROGRESO,NORTE - SAN PEDRO SULA
KIELSA 169 , KIELSA CATACAMAS BLVD. LA MORA,CENTRO - CATACAMAS
KIELSA 170 , KIELSA CHOLUTECA LA COLONIA #45 LA LIBERTAD,CENTRO - CHOLUTECA
KIELSA 171 , KIELSA SPS STIBYS,NORTE - SAN PEDRO SULA
KIELSA 172 , KIELSA OLANCHITO PLAZA SAN JORGE,NORTE - OLANCHITO
KIELSA 173 , KIELSA JUTICALPA CENTRO,CENTRO - JUTICALPA
KIELSA 174 , KIELSA PUERTO CORTES CENTRO,NORTE - PUERTO CORTES
KIELSA 175 , KIELSA SANTA ROSA DE COPAN ALVARADOS PLAZA,NORTE - SANTA ROSA
KIELSA 176 , KIELSA OCOTEPEQUE SAN MARCOS DE OCOTEPEQUE,NORTE - SAN MARCOS DE OCOTEPEQUE
KIELSA 177 , KIELSA INTIBUCA CENTRO,CENTRO - INTIBUCA
KIELSA 178 , KIELSA TGU CENTENARIO,CENTRO - TEGUCIGALPA
KIELSA 179 , KIELSA SONAGUERA LOS LAURELES,NORTE - SONAGUERA
KIELSA 180 , KIELSA COPAN RUINAS CENTRO,NORTE - COPAN RUINAS
KIELSA 181 , KIELSA OCOTEPEQUE SAN JOSE,NORTE - OCOTEPEQUE
KIELSA 182 , KIELSA TGU LA COLONIA #2 LAS TORRES,CENTRO - TEGUCIGALPA
KIELSA 183 , KIELSA TGU LA COLONIA #3 CONCORDIA,CENTRO - TEGUCIGALPA
KIELSA 184 , KIELSA TGU LA COLONIA #5 KENNEDY,CENTRO - TEGUCIGALPA
KIELSA 185 , KIELSA TGU LA COLONIA #10 HACIENDA,CENTRO - TEGUCIGALPA
KIELSA 186 , KIELSA TGU LA COLONIA #12 METROMALL,CENTRO - TEGUCIGALPA
KIELSA 187 , KIELSA TGU LA COLONIA #14 VILLAS DEL SOL,CENTRO - TEGUCIGALPA
KIELSA 188 , KIELSA AZACUALPA CENTRO,NORTE - AZACUALPA
KIELSA 189 , KIELSA TGU HUMUYA,CENTRO - TEGUCIGALPA
KIELSA 190 , KIELSA 1GO LA COLONIA #22 PREMIER,CENTRO - TEGUCIGALPA
KIELSA 191 , KIELSA TGU LA COLONIA #8 LA GRANJA,CENTRO - TEGUCIGALPA
KIELSA 192 , KIELSA TGU LA COLONIA #11 PEDREGAL,CENTRO - TEGUCIGALPA
KIELSA 193 , KIELSA TGU PLAZA LA NORTEÑA,CENTRO - TEGUCIGALPA
KIELSA 194 , KIELSA SPS LA COLONIA #23 ALAMOS,NORTE - SAN PEDRO SULA
KIELSA 195 , KIELSA PUERTO CORTES COPEN II,NORTE - PUERTO CORTES
KIELSA 196 , KIELSA EL PROGRESO LA COLONIA #25,NORTE - EL PROGRESO
KIELSA 197 , KIELSA CHOLUTECA LA COLONIA #15 PLAZA SUR,CENTRO - CHOLUTECA
KIELSA 198 , KIELSA TGU LA COLONIA #32 COUNTRY,CENTRO - TEGUCIGALPA
KIELSA 199 , KIELSA JUTICALPA LA COLONIA #18 CASTAÑOS,CENTRO - JUTICALPA
KIELSA 200 , KIELSA TGU LA COLONIA #29 ANILLO,CENTRO - TEGUCIGALPA
KIELSA 201 , KIELSA DANLI LA COLONIA #19 PALMERAS,CENTRO - DANLI
KIELSA 202 , KIELSA TRUJILLO CENTRO,NORTE - TRUJILLO
KIELSA 203 , KIELSA TGU LA COLONIA #17 5TA AVENIDA,CENTRO - TEGUCIGALPA
KIELSA 204 , KIELSA COMAYAGUA LA COLONIA #16 TORONDON,CENTRO - COMAYAGUA
KIELSA 205 , KIELSA VILLANUEVA PLAZA MODERNA,NORTE - VILLANUEVA
KIELSA 207 , KIELSA SPS  PLAZA LAS MERCEDES,NORTE - SAN PEDRO SULA
KIELSA 208 , KIELSA  ROATAN COXEN HOLE,NORTE - ROATAN
KIELSA 209 , KIELSA LA CEIBA PIZZATY,NORTE - LA CEIBA
KIELSA 210 , KIELSA LA LIMA CITY CENTER,NORTE - LA LIMA
KIELSA 211 ,  KIELSA JUTICALPA UNIPLAZA,CENTRO - JUTICALPA
KIELSA 212 , KIELSA TGU HOSPITAL VIERA,CENTRO - TEGUCIGALPA
KIELSA 213 , KIELSA TGU LA COLONIA #4 HADAS,CENTRO - TEGUCIGALPA
KIELSA 214 , KIELSA TGU COL. MIRAFLORES,CENTRO - TEGUCIGALPA
KIELSA 215 , KIELSA CUCUYAGUA EL CALVARIO,NORTE - CUCUYAGUA
KIELSA 216 , KIELSA JUTICALPA PREMIER,CENTRO - JUTICALPA
KIELSA 217 , KIELSA TGU MEDICAL CENTER,CENTRO - TEGUCIGALPA
KIELSA 218 , KIELSA TGU PAIZ AMERICA,CENTRO - TEGUCIGALPA
KIELSA 219 , KIELSA COFRADIA CENTRO,NORTE - COFRADIA
KIELSA 220 , KIELSA COMAYAGUA LA COLONIA #39 BLVD. ROMERO,CENTRO - COMAYAGUA
KIELSA 221 , KIELSA ROATAN MEGAPLAZA,NORTE - ROATAN
KIELSA 222 , KIELSA SPS CENTRO II,NORTE - SAN PEDRO SULA
KIELSA 223 , KIELSA SAN LORENZO UNICENTRO,CENTRO - SAN LORENZO
KIELSA 224 , KIELSA EL PROGRESO LA COLONIA #46 MACEDONIO,NORTE - EL PROGRESO
KIELSA 225 , KIELSA CHOLOMA CA,NORTE - CHOLOMA
KIELSA 226 , KIELSA SPS 27 CALLE,NORTE - SAN PEDRO SULA
KIELSA 227 , KIELSA LA CEIBA PUMA DIAMANTE,NORTE - LA CEIBA
KIELSA 228 , KIELSA OMOA CENTRO,NORTE - OMOA
KIELSA 229 , KIELSA SANTA ROSA ESQUINA PARQUE,NORTE - SANTA ROSA
KIELSA 230 , KIELSA DANLI GUALIQUEME,CENTRO - DANLI
KIELSA 231 , KIELSA SPS LA COLONIA #21 SAN JOSE,NORTE - SAN PEDRO SULA
KIELSA 232 , KIELSA LEPAERA,NORTE - LEPAERA
KIELSA 233 , KIELSA SANTA BARBARA COLINAS,NORTE - COLINAS
KIELSA 235 , KIELSA LA CEIBA PLAZA QUINTA LOS LAURELES,NORTE - LA CEIBA
KIELSA 236 , KIELSA SONAGUERA PLAZA GENESIS,NORTE - SONAGUERA
KIELSA 237 , KIELSA SANTA BARBARA SAN LUIS,NORTE - SAN LUIS
KIELSA 238 , KIELSA JUTICALPA BELLAVISTA,CENTRO - JUTICALPA
KIELSA 239 , KIELSA PLAZA EL ALTO TALANGA,CENTRO - TALANGA
KIELSA 240 , KIELSA SAN LORENZO LA CRUZ,CENTRO - SAN LORENZO
KIELSA 241 , KIELSA VALLE DE ANGELES EL ZARZAL,CENTRO - VALLE DE ANGELES
KIELSA 242 , KIELSA SIGUATEPEQUE 21 DE AGOSTO,CENTRO - SIGUATEPEQUE
KIELSA 243 , KIELSA COMAYAGUA LOS JAZMINES,CENTRO - COMAYAGUA
KIELSA 244 , KIELSA SAN LORENZO FRESSCO,CENTRO - SAN LORENZO
KIELSA 246 , KIELSA COLON BONITO ORIENTAL,NORTE - BONITO ORIENTAL
KIELSA 249 , KIELSA CHOLOMA PLAZA LA CURVA,NORTE - CHOLOMA
KIELSA 251 , KIELSA SANTA ROSA BO. SANTA TERESA,NORTE - SANTA ROSA
KIELSA 252 , KIELSA COMAYAGUA ZARCITA COLONIAL,CENTRO - COMAYAGUA
KIELSA 253 , KIELSA SPS PLAZA UNIVERSAL DIUNSA,NORTE - SAN PEDRO SULA
KIELSA255 ," KIELSA SANTA ROSA, HOSPITAL REGIONAL",NORTE - SANTA ROSA
KIELSA 256 , KIELSA CHOLUTECA PLAZA FUTURA,CENTRO - CHOLUTECA
KIELSA 257 , KIELSA EL PARAISO PLAZA ZEDAN,CENTRO - EL PARAISO
KIELSA 260 , KIELSA SPS BLVD ALTARA,NORTE - SAN PEDRO SULA
KIELSA 261 , KIELSA SIGUATEPEQUE PLAZA SICILIA,CENTRO - SIGUATEPEQUE
KIELSA 262 , KIELSA DANLI SALIDA A JAMASTRAN,CENTRO - EL PARAISO
KIELSA 590 , KIELSA TGU ONCOLOGICOS,CENTRO - TEGUCIGALPA
KIELSA 591 , KIELSA SPS ONCOLOGICOS,NORTE - SAN PEDRO SULA
KIELSA 602 , KIELSA SPS PLAZA EL PORTAL,NORTE - SAN PEDRO SULA
KIELSA 604 , KIELSA SPS PUMA EL CACAO,NORTE - SAN PEDRO SULA
KIELSA 605 , KIELSA TGU PUMA CARRIZAL,CENTRO - TEGUCIGALPA
KIELSA 606 , KIELSA TGU PUMA CENTROAMERICA,CENTRO - TEGUCIGALPA
